id,expiration_id,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label,category,subcategory,scenario
192.168.19.139:51744-192.168.249.84:22-6,0,192.168.19.139,51744,192.168.249.84,22,6,1741706243937,1741706248567,4629,29,4949,1741706243937,1741706248567,4630,14,2008,1741706243937,1741706248567,4630,15,2941,52,170.6551724137931,248.94456880059687,1028,52,143.42857142857142,167.77438689489875,692,52,196.06666666666666,303.65429173467794,1028,0,165.35714285714286,557.1372756130673,2203,0,356.15384615384613,802.61331298298,2249,0,330.7142857142857,752.7586815527677,2203,2,0,0,0,28,15,0,2,1,0,0,0,13,8,0,1,1,0,0,0,15,7,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51756-192.168.249.84:22-6,0,192.168.19.139,51756,192.168.249.84,22,6,1741706244268,1741706248940,4672,32,5105,1741706244268,1741706248940,4672,15,2060,1741706244268,1741706248940,4672,17,3045,52,159.53125,239.4985626750972,1028,52,137.33333333333334,163.68207666761265,692,52,179.11764705882354,288.9856260119566,1028,0,150.70967741935485,531.3186999100346,2205,0,333.7142857142857,777.8772790257406,2251,0,292,711.4927090279984,2205,2,0,0,0,31,15,0,2,1,0,0,0,14,8,0,1,1,0,0,0,17,7,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51822-192.168.249.84:22-6,0,192.168.19.139,51822,192.168.249.84,22,6,1741706244422,1741706249108,4685,32,5105,1741706244422,1741706249108,4686,15,2060,1741706244422,1741706249108,4686,17,3045,52,159.53125,239.4985626750972,1028,52,137.33333333333334,163.68207666761265,692,52,179.11764705882354,288.9856260119566,1028,0,151.16129032258064,531.3326578898294,2204,1,334.7142857142857,778.0693531860426,2249,0,292.875,711.3930765582417,2204,2,0,0,0,31,15,0,2,1,0,0,0,14,8,0,1,1,0,0,0,17,7,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51852-192.168.249.84:22-6,0,192.168.19.139,51852,192.168.249.84,22,6,1741706248938,1741706261115,12177,54,7481,1741706248938,1741706261115,12177,20,2960,1741706248938,1741706261115,12177,34,4521,52,138.53703703703704,187.53673348449797,1028,52,148,137.84629120872273,692,52,132.97058823529412,211.18050340242343,1028,0,229.75471698113208,625.3288012298501,2436,0,640.8947368421053,939.9540803306265,2482,0,369,759.4400249625718,2436,2,0,0,0,53,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51898-192.168.249.84:22-6,0,192.168.19.139,51898,192.168.249.84,22,6,1741706249050,1741706261240,12190,55,7549,1741706249050,1741706261240,12190,21,3028,1741706249050,1741706261240,12190,34,4521,52,137.25454545454545,186.21290045944892,1028,52,144.1904761904762,136.13705245874178,692,52,132.97058823529412,211.18050340242343,1028,0,225.74074074074073,619.6648492348337,2432,0,609.5,926.0230288713125,2481,0,369.3939393939394,758.5564016661672,2432,2,0,0,0,54,31,0,2,1,0,0,0,20,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51886-192.168.249.84:22-6,0,192.168.19.139,51886,192.168.249.84,22,6,1741706249048,1741706261245,12196,57,7637,1741706249048,1741706261245,12197,23,3116,1741706249048,1741706261245,12197,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,217.80357142857142,610.5444122035344,2436,0,554.4090909090909,900.0365981998585,2481,0,369.6060606060606,759.348601998587,2436,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:51914-192.168.249.84:22-6,0,192.168.19.139,51914,192.168.249.84,22,6,1741706249106,1741706261278,12172,55,7533,1741706249106,1741706261278,12172,21,3012,1741706249106,1741706261278,12172,34,4521,52,136.96363636363637,186.1833860019214,1028,52,143.42857142857142,136.06881012353782,692,52,132.97058823529412,211.18050340242343,1028,0,225.40740740740742,620.3245124012682,2434,0,608.6,926.3216719908909,2480,0,368.8484848484849,759.5149218001568,2434,2,0,0,0,54,31,0,2,1,0,0,0,20,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:52948-192.168.249.84:22-6,0,192.168.19.139,52948,192.168.249.84,22,6,1741706261263,1741706273310,12046,55,7533,1741706261263,1741706273310,12047,21,3012,1741706261263,1741706273310,12047,34,4521,52,136.96363636363637,186.1833860019214,1028,52,143.42857142857142,136.06881012353782,692,52,132.97058823529412,211.18050340242343,1028,0,223.09259259259258,612.7556539327986,2416,0,602.35,914.9838946670045,2459,0,365.06060606060606,750.0992637096871,2416,2,0,0,0,54,31,0,2,1,0,0,0,20,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:52954-192.168.249.84:22-6,0,192.168.19.139,52954,192.168.249.84,22,6,1741706261328,1741706273381,12053,55,7565,1741706261328,1741706273381,12053,21,3044,1741706261328,1741706273381,12053,34,4521,52,137.54545454545453,186.24195584159452,1028,52,144.95238095238096,136.2009985945059,692,52,132.97058823529412,211.18050340242343,1028,0,223.2037037037037,612.5292851541611,2417,0,602.65,915.0588655928099,2461,0,365.24242424242414,749.7699861554728,2417,2,0,0,0,54,31,0,2,1,0,0,0,20,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:52958-192.168.249.84:22-6,0,192.168.19.139,52958,192.168.249.84,22,6,1741706261339,1741706273405,12066,55,7533,1741706261339,1741706273405,12066,21,3012,1741706261339,1741706273405,12066,34,4521,52,136.96363636363637,186.1833860019214,1028,52,143.42857142857142,136.06881012353782,692,52,132.97058823529412,211.18050340242343,1028,0,223.44444444444446,611.764590001944,2412,0,603.3,914.8826755382353,2462,0,365.6363636363637,748.6908905461431,2412,2,0,0,0,54,31,0,2,1,0,0,0,20,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
