Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,subcategory,scenario,label,category
192.168.249.73:44909-192.168.19.166:9500-6,192.168.249.73,44909,192.168.19.166,9500,6,2025-03-11 15:16:18.036165 UTC,38,1,1,0,0,0,0,0,0,0,0,0,0,2210526.3157894737,52631.57894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,26315.78947368421,26315.78947368421,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.038,0,0.038,0.038,0,0,0,0,-1,-1,0,0,0,38,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:543-6,192.168.249.73,44909,192.168.19.166,543,6,2025-03-11 15:16:18.036459 UTC,47,1,1,0,0,0,0,0,0,0,0,0,0,1787234.0425531915,42553.19148936171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,21276.595744680853,21276.595744680853,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.047,0,0.047,0.047,0,0,0,0,-1,-1,0,0,0,47,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:44501-6,192.168.249.73,44909,192.168.19.166,44501,6,2025-03-11 15:16:18.037362 UTC,90,1,1,0,0,0,0,0,0,0,0,0,0,933333.3333333333,22222.222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,11111.111111111111,11111.111111111111,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.09,0,0.09,0.09,0,0,0,0,-1,-1,0,0,0,90,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:10629-6,192.168.249.73,44909,192.168.19.166,10629,6,2025-03-11 15:16:18.037372 UTC,87,1,1,0,0,0,0,0,0,0,0,0,0,965517.2413793104,22988.505747126437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,11494.252873563219,11494.252873563219,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.087,0,0.087,0.087,0,0,0,0,-1,-1,0,0,0,87,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:6003-6,192.168.249.73,44909,192.168.19.166,6003,6,2025-03-11 15:16:18.037664 UTC,110,1,1,0,0,0,0,0,0,0,0,0,0,763636.3636363636,18181.81818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,9090.90909090909,9090.90909090909,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.11,0,0.11,0.11,0,0,0,0,-1,-1,0,0,0,110,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:8194-6,192.168.249.73,44909,192.168.19.166,8194,6,2025-03-11 15:16:18.038027 UTC,140,1,1,0,0,0,0,0,0,0,0,0,0,600000,14285.714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,7142.857142857143,7142.857142857143,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.14,0,0.14,0.14,0,0,0,0,-1,-1,0,0,0,140,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1094-6,192.168.249.73,44909,192.168.19.166,1094,6,2025-03-11 15:16:18.038445 UTC,115,1,1,0,0,0,0,0,0,0,0,0,0,730434.7826086957,17391.304347826088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,8695.652173913044,8695.652173913044,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.115,0,0.115,0.115,0,0,0,0,-1,-1,0,0,0,115,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:2000-6,192.168.249.73,44909,192.168.19.166,2000,6,2025-03-11 15:16:18.038486 UTC,102,1,1,0,0,0,0,0,0,0,0,0,0,823529.4117647059,19607.843137254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,9803.921568627451,9803.921568627451,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.102,0,0.102,0.102,0,0,0,0,-1,-1,0,0,0,102,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:2394-6,192.168.249.73,44909,192.168.19.166,2394,6,2025-03-11 15:16:18.038879 UTC,48,1,1,0,0,0,0,0,0,0,0,0,0,1750000,41666.666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,20833.333333333332,20833.333333333332,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.048,0,0.048,0.048,0,0,0,0,-1,-1,0,0,0,48,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:9999-6,192.168.249.73,44909,192.168.19.166,9999,6,2025-03-11 15:16:18.039670 UTC,41,1,1,0,0,0,0,0,0,0,0,0,0,2048780.487804878,48780.487804878045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,24390.243902439022,24390.243902439022,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.041,0,0.041,0.041,0,0,0,0,-1,-1,0,0,0,41,nmap,nmap_A_T4,1,port-scan
