Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label,label,category,subcategory,scenario
192.168.249.73-192.168.19.166-0-0-1,192.168.19.166,0,192.168.249.73,0,1,2025-03-11 15:16:27.157884,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.249.73,0,192.168.19.166,0,1,2025-03-11 15:16:29.311164,25230,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.90606420927467,12615.0,17776.664479029805,25185.0,45.0,25230.0,25230.0,0.0,25230.0,25230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.27070947284979,39.635354736424894,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.19.166,0,192.168.249.73,0,1,2025-03-11 15:16:29.336451,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40643-80-6,192.168.249.73,40643,192.168.19.166,80,6,2025-03-11 15:16:27.183043,339,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8849.557522123894,169.5,197.28279195104676,309.0,30.0,339.0,339.0,0.0,339.0,339.0,0,0,0,0,0,0,0,0,0,1,0,52,32,5899.705014749263,2949.8525073746314,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,64800,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,339,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40648-1-6,192.168.249.73,40648,192.168.19.166,1,6,2025-03-11 15:16:27.283378,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,29411.764705882353,29411.764705882353,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31337,0,0,0,40,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,34,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40631-80-6,192.168.249.73,40631,192.168.19.166,80,6,2025-03-11 15:16:28.785691,425,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7058.823529411765,212.5,235.46655813512032,379.0,46.0,425.0,425.0,0.0,425.0,425.0,0,0,0,0,0,0,0,0,0,1,0,60,40,4705.882352941177,2352.9411764705883,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,425,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40632-80-6,192.168.249.73,40632,192.168.19.166,80,6,2025-03-11 15:16:28.885726,380,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7894.736842105262,190.0,199.4041122946064,331.0,49.0,380.0,380.0,0.0,380.0,380.0,0,0,0,0,0,0,0,0,0,1,0,60,40,5263.157894736842,2631.578947368421,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,380,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40633-80-6,192.168.249.73,40633,192.168.19.166,80,6,2025-03-11 15:16:28.985894,370,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8108.108108108108,185.0,195.16147160748713,323.0,47.0,370.0,370.0,0.0,370.0,370.0,0,0,0,0,0,0,0,0,0,1,0,60,40,5405.405405405406,2702.702702702703,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,370,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40634-80-6,192.168.249.73,40634,192.168.19.166,80,6,2025-03-11 15:16:29.085992,427,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7025.761124121779,213.5,234.05234457274722,379.0,48.0,427.0,427.0,0.0,427.0,427.0,0,0,0,0,0,0,0,0,0,1,0,56,40,4683.840749414519,2341.9203747072597,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,427,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40635-80-6,192.168.249.73,40635,192.168.19.166,80,6,2025-03-11 15:16:29.186078,416,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7211.538461538462,208.0,214.96046148071045,360.0,56.0,416.0,416.0,0.0,416.0,416.0,0,0,0,0,0,0,0,0,0,1,0,60,40,4807.692307692308,2403.846153846154,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,416,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
